Fecha,Qe,l/m2_arzua,l/m2_olveda,l/m2_serradofaro,l/m2_melide,Qsalida,pred_l/m2_2d,pred_l/m2_3d,pred_l/m2
2009-12-31,0.27558568141899414,0.04195601851851852,0.18236600063431654,0.026670692431561997,0.08962264150943396,0.41210617116352727,0.11592347283288278,0.060216499827432886,0.00028927353789666926
2010-01-01,0.38692905853928045,0.0708912037037037,0.1871233745639074,0.09007648953301127,0.08962264150943396,0.41086882742236547,0.026063418953318263,0.04931693139413169,0.33335955940204565
2010-01-02,0.2374060971888941,0.026041666666666664,0.022201078338090707,0.03321256038647343,0.01729559748427673,0.4148636800724022,0.08074047891447626,0.00017055711707781917,0.0002264283844741673
2010-01-03,0.3003859189075526,0.10850694444444443,0.0792895654931811,0.13536634460547503,0.0849056603773585,0.4142626845409808,4.609632662124872e-06,0.001686503177645369,0.0003535985837922895
2010-01-04,0.2099052519605175,0.0014467592592592592,0.0015857913098636222,0.0,0.0015723270440251573,0.4143687425759375,0.002251754041475539,0.016456701804288598,2.809936008392342e-07
2010-01-05,0.1722616662131295,0.0,0.0,0.0,0.0,0.4151111488206346,0.05182145707789692,0.02400533438328757,6.3392155782848154e-06
2010-01-06,0.1478943505759922,0.0072337962962962955,0.0,0.0035225442834138482,0.0,0.30732083262627974,0.05341174429435378,0.05152513816747141,0.00014006219249934436
2010-01-07,0.13573130808368172,0.027488425925925923,0.0,0.0025161030595813203,0.0031446540880503146,0.3090531138639063,0.019078832460793633,0.0014537438217289177,0.00015421302911093626
2010-01-08,0.1220427314482679,0.0050636574074074065,0.0,0.0070450885668276965,0.0015723270440251573,0.31152780134623,0.0053401372166811175,0.0027279016039837584,6.196845266194597e-05
2010-01-09,0.11029199548112048,0.004340277777777777,0.0,0.0020128824476650566,0.0015723270440251573,0.301735109451892,0.03979174368322267,0.0001715597930340638,1.4030946498819826e-05
2010-01-10,0.09868556679778014,0.006510416666666666,0.0,0.005535426731078905,0.014150943396226415,0.30300780587137277,0.000637267073620616,0.17013017286321142,5.0024353527406243e-05
2010-01-11,0.0956963444903479,0.0,0.0,0.004528985507246377,0.0,0.31460348435997504,0.2532255235456007,0.16126624688723235,5.803454235510097e-06
2010-01-12,0.23260272617074437,0.2828414351851852,0.0,0.2898550724637681,0.14465408805031446,0.30735618530459863,0.1725576446839192,0.22021025940353184,0.0005807200891686336
2010-01-13,0.3114769644344391,0.2633101851851852,0.0,0.21336553945249598,0.2028301886792453,0.31149244866791104,0.0967078844593069,0.01722621269068134,0.0008188153422501967
2010-01-14,0.45945377631546397,0.1490162037037037,0.0,0.047805958132045086,0.15408805031446543,0.28331636404774024,0.038098894372182654,0.10570995626632723,0.00024256865460267504
2010-01-15,0.22588212981058636,0.010850694444444444,0.0,0.03824476650563607,0.015723270440251572,0.3990610328638497,0.0904412253688591,0.007855634495019376,0.00013561874901652245
2010-01-16,0.2535891283015445,0.14395254629629628,0.0,0.10114734299516909,0.0849056603773585,0.43098450138582495,0.010843914145694366,0.061661214354550915,0.0005993031471282455
2010-01-17,0.22876827548672785,0.006510416666666666,0.0,0.028683574879227056,0.012578616352201259,0.4311966174557384,0.010063749945025626,0.06892692379196412,8.611891686336219e-05
2010-01-18,0.18440409337918182,0.01880787037037037,0.0,0.019122383252818034,0.0015723270440251573,0.4322571978053057,0.0696695460170272,0.018982944901392906,2.5195758982428533e-05
2010-01-19,0.1769413452737303,0.10706018518518519,0.0,0.0825281803542673,0.10062893081761007,0.43367130493806205,0.03838929458336169,0.039336362963695845,0.0002032108208759507
2010-01-20,0.17904410855206193,0.006510416666666666,0.0,0.009561191626409017,0.007861635220125786,0.43593387635047226,0.017347955242099717,0.03280605340080279,0.16472593758195647
2010-01-21,0.1462245091490818,0.0036168981481481477,0.0,0.00855475040257649,0.0015723270440251573,0.3109268058148085,0.031130441224723523,0.0696874053135168,0.05030159979019145
2010-01-22,0.1515638786499435,0.17433449074074073,0.0,0.046296296296296294,0.10377358490566037,0.3085935290457605,0.02794871567763937,0.009210054671445173,0.00044635643849986887
2010-01-23,0.16613891431445793,0.0036168981481481477,0.0,0.0025161030595813203,0.0,0.19111657899202442,0.053205467377682544,4.013187479700258e-06,0.00016542654864935746
2010-01-24,0.13665899776529863,0.0,0.0,0.004025764895330113,0.0,0.19659624413145538,0.014485439220478067,0.006568434312490944,7.242141620771046e-06
2010-01-25,0.12020796741129225,0.0,0.0,0.0,0.0031446540880503146,0.18344504779682108,0.002024734805720484,0.0019413350711963697,4.274099921321794e-05
2010-01-26,0.1143532147539767,0.0,0.0,0.0,0.0,0.2112322529554839,0.008219017290202706,0.00866527714033098,1.7676370049829532e-06
2010-01-27,0.10903446057937312,0.0014467592592592592,0.0,0.0,0.0015723270440251573,0.19829317269076305,0.005192632382082269,0.04133789511143713,4.645760818253344e-06
2010-01-28,0.09839695223016598,0.0021701388888888886,0.0,0.0015096618357487923,0.0015723270440251573,0.2027122574806267,0.05063922813818004,0.058906224304901146,4.0968492001049044e-05
2010-01-29,0.1030354006382505,0.057870370370370364,0.0,0.026670692431561997,0.06132075471698113,0.20303043158549688,0.05450074427960791,0.040921536540154714,0.000185223482821925
2010-01-30,0.11317814115726195,0.023148148148148147,0.0,0.007548309178743961,0.020440251572327043,0.14137536059731884,0.063716341687857,1.4046060842847844e-05,0.00023234049042748493
2010-01-31,0.10880769199053344,0.023148148148148147,0.0,0.024154589371980676,0.03459119496855346,0.16393036936478306,8.181925116562612e-05,0.0,0.00017114383162863885
