date,Arzúa,CaudalAliviaderos_m3_s,CaudalAliviado_m3_s,CaudalDesagues_m3_s,CaudalEntrante_m3_s,CaudalTurbinado_m3_s,CotaLlenado_m,Melide,Olveda,Serra do Faro,VolEmbalsado_Hm3,pred1day,pred2day,pred3day
2010-08-22,0.7,0.0,0.0,0.0,1.57,11.78,238.14,0.0,0.0,0.0,158.65,0.048914283,1.8988,2.6221429
2010-08-23,8.0,0.0,0.0,0.0,1.82,11.99,238.03,4.6,0.0,6.4,157.77,7.5445714,0.24028574,0.0
2010-08-25,0.3,0.0,0.0,0.0,1.32,11.42,237.82,0.0,0.0,0.0,156.1,0.007242857,0.47561428,1.2678571
2010-08-26,4.8,0.0,0.0,0.0,1.72,11.78,237.71,6.6,0.0,6.5,155.23,1.4372857,0.54542858,0.041999995
2010-08-27,0.0,0.0,0.0,0.0,2.68,11.8,237.61,0.0,0.0,0.0,154.44,0.96212857,8.5711479e-05,0.0
2010-08-28,0.2,0.0,0.0,0.0,1.56,11.56,237.5,0.0,0.0,0.0,153.58,0.0011285714,0.0,0.0
2010-08-29,0.0,0.0,0.0,0.0,1.55,11.51,237.39,0.0,0.0,0.0,152.72,8.571429e-05,0.0,0.065400001
2010-08-30,0.0,0.0,0.0,0.0,1.35,11.27,237.28,0.0,0.0,0.0,151.86,0.0,0.0080271428,2.4661157
2010-08-31,0.0,0.0,0.0,0.0,1.28,11.16,237.17,0.0,0.0,0.0,151.01,0.10885714,1.4184286,0.092857131
2010-09-02,0.0,0.0,0.0,0.0,1.32,11.13,236.94,0.0,0.0,0.0,149.23,0.014471429,0.0,0.0
2010-09-03,0.3,0.0,0.0,0.0,1.54,8.65,236.86,0.0,0.0,0.0,148.62,2.857143e-05,0.00072857144,0.12595714
