date,Arzúa
2016-01-01 00:00:00.0,28.0
2016-01-02 00:00:00.0,1.0
2016-01-03 00:00:00.0,24.8
2016-01-04 00:00:00.0,25.0
2016-01-05 00:00:00.0,17.6
2016-01-06 00:00:00.0,14.0
2016-01-07 00:00:00.0,70.6
2016-01-08 00:00:00.0,41.0
2016-01-09 00:00:00.0,33.8
2016-01-10 00:00:00.0,43.4
2016-01-11 00:00:00.0,13.2
2016-01-12 00:00:00.0,1.4
2016-01-13 00:00:00.0,17.0
2016-01-14 00:00:00.0,24.4
2016-01-15 00:00:00.0,0.0
2016-01-16 00:00:00.0,0.2
2016-01-17 00:00:00.0,6.6
2016-01-18 00:00:00.0,4.0
2016-01-19 00:00:00.0,0.0
2016-01-20 00:00:00.0,0.0
2016-01-21 00:00:00.0,2.8
2016-01-22 00:00:00.0,0.8
2016-01-23 00:00:00.0,1.2
2016-01-24 00:00:00.0,0.0
2016-01-25 00:00:00.0,19.0
2016-01-26 00:00:00.0,0.2
2016-01-27 00:00:00.0,3.0
2016-01-28 00:00:00.0,17.6
2016-01-29 00:00:00.0,0.0
2016-01-30 00:00:00.0,6.2
2016-01-31 00:00:00.0,3.0
