fold,horizon,test_year,hash,config,model,strategy,NSE,KGE,HitRatio,FARate,FARatio,F1,Precision,Recall,n_extreme,PeakTiming_mean_lag,PeakTiming_mean_absolute_lag,PeakTiming_n_peaks,NSE_CI_lower,NSE_CI_upper,KGE_CI_lower,KGE_CI_upper,F1_CI_lower,F1_CI_upper,HitRatio_CI_lower,HitRatio_CI_upper,n_replicas,frac,mean_abs_deviation_from_baseline,mean_std_across_replicas,max_std_across_replicas,delta_hit_ratio,delta_farate,rf_branch_stability,seed,threshold_percentile
gradient_boosting_quantile_2019,48h,2019,bfff9814071f0e3c,gradient_boosting_quantile,baseline,expanding,0.4539006090580203,0.3993514693058977,0.0465116279069767,0.031055900621118,0.3448275862068966,0.5277777777777777,0.6551724137931034,0.4418604651162791,43.0,0.375,1.5,16.0,0.3891875321408583,0.5687877334166722,0.3087595970472407,0.5402119399001768,0.3926742685025818,0.6751462765957448,0.0,0.1071669884169884,,,,,,,,,92,90
heuristic_ensemble_2019,48h,2019,bfff9814071f0e3c,heuristic_ensemble,baseline,expanding,0.5089273081730152,0.535324531904763,0.3720930232558139,0.0993788819875776,0.4848484848484848,0.6238532110091742,0.5151515151515151,0.7906976744186046,43.0,0.5,1.375,16.0,0.3329999042024744,0.6042114725019839,0.4363785866240218,0.5984623941763758,0.5239557462181079,0.7131785563528915,0.2379568106312292,0.5280448717948719,,,,,,,,,92,90
M5_2020,48h,2020,e61451c433ce7a9b,M5,seq2seq_rf,expanding,0.2532439296338494,0.5388669998085097,0.4680851063829787,0.0788643533123028,0.4098360655737705,0.6666666666666666,0.5901639344262295,0.7659574468085106,47.0,-0.1,1.5,20.0,-0.0028826863807594,0.4752601337037478,0.4025876822235801,0.6265847472332114,0.5712454212454212,0.7547679755226926,0.3190133500208594,0.6153846153846154,,,,,,,,,92,90
quantile_regression_2020,48h,2020,e61451c433ce7a9b,quantile_regression,baseline,expanding,0.4813580191658084,0.4789563756201156,0.0425531914893617,0.0157728706624605,0.3125,0.3492063492063492,0.6875,0.2340425531914893,47.0,0.8,1.6,20.0,0.4079332477173207,0.5767205467701197,0.4001625775575348,0.5760725599270521,0.1753383458646616,0.4929347826086957,0.0,0.1027173913043478,,,,,,,,,92,90
gradient_boosting_quantile_2020,48h,2020,e61451c433ce7a9b,gradient_boosting_quantile,baseline,expanding,0.5979620210009323,0.5550369460722235,0.0851063829787234,0.0063091482649842,0.0869565217391304,0.6,0.9130434782608696,0.4468085106382978,47.0,0.6,1.5,20.0,0.5202288824492874,0.6879914890530978,0.4719887958286997,0.647604217700352,0.4373468137254903,0.722348484848485,0.0208227040816326,0.1571078431372549,,,,,,,,,92,90
heuristic_ensemble_2020,48h,2020,e61451c433ce7a9b,heuristic_ensemble,baseline,expanding,0.1261376227384115,0.3694637386860537,0.5957446808510638,0.0820189274447949,0.4,0.6964285714285714,0.6,0.8297872340425532,47.0,-0.15,1.45,20.0,-0.2018170859689538,0.3979403971805544,0.188544500299195,0.4978239383275353,0.6021374246000525,0.7809937888198758,0.4664583333333333,0.7291807432432432,,,,,,,,,92,90
M5_2021,48h,2021,d2cbc75d08987dfd,M5,seq2seq_rf,expanding,-0.0876116357475533,0.2883458166747221,0.1666666666666666,0.0251396648044692,0.6428571428571429,0.5,0.3571428571428571,0.8333333333333334,6.0,-0.2,1.0,5.0,-1.2178020072167788,0.4379897073420075,-0.0815251323775348,0.5264231955869608,0.1426190476190476,0.7700000000000001,0.0,0.6,,,,,,,,,92,90
quantile_regression_2021,48h,2021,d2cbc75d08987dfd,quantile_regression,baseline,expanding,0.2806195766465648,0.3464456774853395,0.0,0.0027932960893854,1.0,0.0,0.0,0.0,6.0,1.8,1.8,5.0,0.1734995578876365,0.3515189987262098,0.2516974492927157,0.5049652896834985,0.0,0.0,0.0,0.0,,,,,,,,,92,90
gradient_boosting_quantile_2021,48h,2021,d2cbc75d08987dfd,gradient_boosting_quantile,baseline,expanding,0.3601886884523317,0.3704984677539871,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,0.4,5.0,0.2910732180362607,0.4610284049572092,0.2663357263153287,0.539694124687858,0.0,0.0,0.0,0.0,,,,,,,,,92,90
heuristic_ensemble_2021,48h,2021,d2cbc75d08987dfd,heuristic_ensemble,baseline,expanding,-0.1193229543771394,0.0973187063731364,0.1666666666666666,0.0363128491620111,0.7222222222222222,0.4166666666666667,0.2777777777777778,0.8333333333333334,6.0,0.8,0.8,5.0,-1.2745317429831096,0.3824977205473016,-0.2214187803471671,0.3355384943743477,0.1109649122807017,0.6666666666666666,0.0,0.6,,,,,,,,,92,90
M5_2022,48h,2022,1bc538582d22b2fe,M5,seq2seq_rf,expanding,0.5045450000705639,0.6125287098399367,0.5714285714285714,0.0807453416149068,0.4482758620689655,0.64,0.5517241379310345,0.7619047619047619,42.0,1.3333333333333333,1.3333333333333333,18.0,0.312919925460154,0.6209427135636799,0.4277138048005242,0.6911219278674299,0.5134534534534534,0.740873015873016,0.4250126646403242,0.7272727272727273,,,,,,,,,92,90
quantile_regression_2022,48h,2022,1bc538582d22b2fe,quantile_regression,baseline,expanding,0.3372787173148878,0.3742136026360793,0.119047619047619,0.0496894409937888,0.4705882352941176,0.4736842105263158,0.5294117647058824,0.4285714285714285,42.0,1.4444444444444444,1.6666666666666667,18.0,0.2100045267692415,0.4737998143009277,0.2503676551266715,0.5256689756768506,0.3235294117647059,0.6001162790697675,0.0199901960784313,0.2273051948051948,,,,,,,,,92,90
gradient_boosting_quantile_2022,48h,2022,1bc538582d22b2fe,gradient_boosting_quantile,baseline,expanding,0.4098332698849135,0.353214753145698,0.0952380952380952,0.0186335403726708,0.2,0.6666666666666666,0.8,0.5714285714285714,42.0,1.0,1.8888888888888888,18.0,0.3081056584712653,0.528734136194386,0.2318381194456511,0.515403421968816,0.534907908992416,0.7907415533128566,0.0,0.2,,,,,,,,,92,90
heuristic_ensemble_2022,48h,2022,1bc538582d22b2fe,heuristic_ensemble,baseline,expanding,0.4882780216977491,0.5072682087918079,0.5714285714285714,0.1055900621118012,0.5074626865671642,0.6055045871559633,0.4925373134328358,0.7857142857142857,42.0,1.6111111111111112,1.6111111111111112,18.0,0.2760213288516535,0.5947169224956497,0.3241278523399042,0.6099778862113421,0.4650955149501661,0.7103199746554729,0.4217857142857143,0.7250568181818182,,,,,,,,,92,90
M5_2023,48h,2023,c330caca3da1421a,M5,seq2seq_rf,expanding,-0.5388002953021576,0.1737722250718264,0.5806451612903226,0.2277227722772277,0.575,0.5604395604395604,0.425,0.8225806451612904,62.0,0.32,1.28,25.0,-1.293862416076164,-0.1197407379367799,-0.0655575175698603,0.3246521913219392,0.4786303191489362,0.6293368046040012,0.4570779220779221,0.7031698258196721,,,,,,,,,92,90
quantile_regression_2023,48h,2023,c330caca3da1421a,quantile_regression,baseline,expanding,0.3590356410110737,0.4140463023075438,0.0806451612903225,0.0231023102310231,0.3043478260869565,0.3764705882352941,0.6956521739130435,0.2580645161290322,62.0,0.72,1.6,25.0,0.2672155569083504,0.4569931422981843,0.3076162658803726,0.5212941998495487,0.2322997416020671,0.4875,0.0192129629629629,0.1515408320493066,,,,,,,,,92,90
gradient_boosting_quantile_2023,48h,2023,c330caca3da1421a,gradient_boosting_quantile,baseline,expanding,0.4013747049271231,0.4315627878524967,0.0483870967741935,0.0396039603960396,0.4137931034482758,0.3736263736263736,0.5862068965517241,0.2741935483870967,62.0,0.64,1.28,25.0,0.3012036107885689,0.505066857180235,0.3205682288534207,0.5354390840623313,0.2629892037786774,0.4843274853801169,0.0,0.1111904761904762,,,,,,,,,92,90
